"","SF/CAT","LU/PR","","","","","","","","","","","","","","","","","",""
"50","8a","LU","6.94, d=0.81","4.37, d=0.46","1.39, d=0.14","-2.18, d=-0.23","-4.53, d=-0.46","-7.58, d=-0.81","4.67, d=0.9","3.39, d=0.56","1.64, d=0.22","-0.92, d=-0.11","-3.28, d=-0.36","-6, d=-0.64","7.26, d=0.73","4.35, d=0.46","1.7, d=0.18","-2.34, d=-0.26","-4.22, d=-0.5","-6.58, d=-0.84"
"51","8a","PR","6.96, d=0.81","4.39, d=0.46","1.41, d=0.15","-2.19, d=-0.23","-4.52, d=-0.46","-7.6, d=-0.81","4.69, d=0.9","3.4, d=0.56","1.65, d=0.22","-0.92, d=-0.11","-3.29, d=-0.37","-6, d=-0.64","7.27, d=0.74","4.36, d=0.46","1.7, d=0.18","-2.34, d=-0.26","-4.22, d=-0.5","-6.59, d=-0.84"
"52","CAT",NA,"6.93, d=0.79","4.3, d=0.44","1.4, d=0.15","-2.14, d=-0.22","-4.5, d=-0.46","-7.5, d=-0.82","5.38, d=0.9","3.8, d=0.55","1.82, d=0.23","-0.89, d=-0.1","-3.55, d=-0.39","-6.27, d=-0.67","7.24, d=0.73","4.23, d=0.45","1.69, d=0.17","-2.39, d=-0.26","-4.37, d=-0.5","-6.94, d=-0.8"
"53","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety"
"54",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"55",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"56","4a","LU","6.24, d=0.63","3.98, d=0.4","0.95, d=0.1","-1.88, d=-0.22","-4.19, d=-0.54","-5.78, d=-0.88","7.79, d=0.83","4.71, d=0.48","2.33, d=0.24","-1.2, d=-0.12","-4.32, d=-0.44","-7.7, d=-0.83","4.68, d=0.56","3.06, d=0.41","0.63, d=0.1","-0.84, d=-0.16","-1.8, d=-0.43","-2.41, d=-0.76"
"57","4a","PR","6.25, d=0.63","3.99, d=0.4","0.97, d=0.1","-1.89, d=-0.22","-4.19, d=-0.54","-5.76, d=-0.88","7.8, d=0.83","4.72, d=0.48","2.35, d=0.24","-1.19, d=-0.12","-4.32, d=-0.44","-7.69, d=-0.83","4.68, d=0.56","3.04, d=0.4","0.62, d=0.1","-0.83, d=-0.16","-1.8, d=-0.43","-2.41, d=-0.77"
"58","6a","LU","6.27, d=0.63","3.91, d=0.38","0.75, d=0.08","-2.12, d=-0.24","-4.71, d=-0.58","-6.32, d=-0.9","7.99, d=0.85","4.84, d=0.49","2.42, d=0.25","-1.15, d=-0.12","-4.26, d=-0.42","-7.67, d=-0.82","5.02, d=0.58","3.24, d=0.41","0.67, d=0.1","-0.95, d=-0.17","-2.04, d=-0.44","-2.87, d=-0.82"
"59","6a","PR","6.31, d=0.63","3.92, d=0.38","0.77, d=0.08","-2.13, d=-0.24","-4.72, d=-0.58","-6.33, d=-0.9","7.99, d=0.85","4.84, d=0.49","2.44, d=0.25","-1.15, d=-0.12","-4.27, d=-0.43","-7.69, d=-0.82","5.04, d=0.58","3.25, d=0.41","0.67, d=0.1","-0.95, d=-0.17","-2.06, d=-0.44","-2.88, d=-0.83"
"60","7a","LU","6.43, d=0.65","4.14, d=0.4","0.79, d=0.08","-2.27, d=-0.24","-5.25, d=-0.59","-7.13, d=-0.91","7.88, d=0.84","4.85, d=0.5","2.42, d=0.25","-1.25, d=-0.13","-4.25, d=-0.43","-7.58, d=-0.8","5.72, d=0.63","3.89, d=0.45","0.7, d=0.09","-1.15, d=-0.17","-2.74, d=-0.48","-3.8, d=-0.85"
"61","7a","PR","6.47, d=0.66","4.15, d=0.41","0.8, d=0.08","-2.26, d=-0.24","-5.22, d=-0.59","-7.11, d=-0.91","7.88, d=0.84","4.85, d=0.5","2.42, d=0.25","-1.26, d=-0.13","-4.27, d=-0.43","-7.61, d=-0.8","5.71, d=0.63","3.9, d=0.45","0.7, d=0.09","-1.15, d=-0.17","-2.75, d=-0.49","-3.81, d=-0.85"
"62","8a","LU","6.47, d=0.65","4.06, d=0.39","0.72, d=0.07","-2.27, d=-0.24","-5.09, d=-0.59","-6.9, d=-0.91","8.07, d=0.85","5.02, d=0.51","2.54, d=0.26","-1.15, d=-0.12","-4.22, d=-0.42","-7.59, d=-0.8","5.48, d=0.61","3.71, d=0.44","0.79, d=0.11","-1.09, d=-0.17","-2.58, d=-0.48","-3.59, d=-0.86"
"63","8a","PR","6.5, d=0.65","4.07, d=0.39","0.74, d=0.08","-2.27, d=-0.24","-5.09, d=-0.59","-6.89, d=-0.91","8.06, d=0.85","5, d=0.51","2.54, d=0.26","-1.16, d=-0.12","-4.25, d=-0.42","-7.62, d=-0.8","5.49, d=0.61","3.7, d=0.44","0.79, d=0.11","-1.09, d=-0.17","-2.58, d=-0.48","-3.59, d=-0.87"
"64","CAT",NA,"6.41, d=0.66","4.21, d=0.42","0.87, d=0.09","-2.42, d=-0.25","-5.31, d=-0.59","-7.37, d=-0.86","7.97, d=0.86","4.85, d=0.5","2.54, d=0.27","-1.02, d=-0.1","-4.06, d=-0.41","-7.41, d=-0.79","6.19, d=0.67","4.15, d=0.47","0.8, d=0.1","-1.55, d=-0.2","-3.45, d=-0.51","-5.02, d=-0.89"
"65","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression"
"66",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"67",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"68","4a","LU","7.05, d=0.69","3.88, d=0.4","1.3, d=0.14","-1.32, d=-0.16","-4.05, d=-0.54","-5.41, d=-0.84","7.29, d=0.78","4.91, d=0.51","1.42, d=0.14","-2.08, d=-0.21","-4.08, d=-0.42","-7.21, d=-0.75","4.82, d=0.56","2.62, d=0.36","1.3, d=0.2","-0.42, d=-0.08","-1.4, d=-0.34","-1.92, d=-0.6"
"69","4a","PR","7.04, d=0.69","3.86, d=0.39","1.31, d=0.14","-1.32, d=-0.16","-4.08, d=-0.54","-5.42, d=-0.84","7.29, d=0.78","4.92, d=0.51","1.41, d=0.14","-2.08, d=-0.21","-4.08, d=-0.42","-7.21, d=-0.75","4.83, d=0.56","2.62, d=0.36","1.3, d=0.2","-0.41, d=-0.08","-1.39, d=-0.33","-1.91, d=-0.6"
"70","6a","LU","7.5, d=0.75","3.99, d=0.4","1.37, d=0.15","-1.41, d=-0.16","-4.41, d=-0.54","-6.1, d=-0.83","7.45, d=0.8","5.11, d=0.53","1.58, d=0.16","-1.92, d=-0.19","-3.9, d=-0.4","-7.43, d=-0.75","5.57, d=0.61","3.18, d=0.4","1.38, d=0.18","-0.66, d=-0.11","-2.05, d=-0.41","-2.91, d=-0.71"
"71","6a","PR","7.47, d=0.75","3.97, d=0.4","1.36, d=0.14","-1.43, d=-0.16","-4.46, d=-0.55","-6.13, d=-0.84","7.43, d=0.8","5.09, d=0.53","1.54, d=0.15","-1.95, d=-0.2","-3.93, d=-0.41","-7.44, d=-0.75","5.59, d=0.61","3.17, d=0.4","1.39, d=0.18","-0.64, d=-0.11","-2.04, d=-0.4","-2.89, d=-0.72"
"72","8a","LU","7.58, d=0.76","4.01, d=0.4","1.38, d=0.15","-1.49, d=-0.17","-4.49, d=-0.55","-6.2, d=-0.84","7.61, d=0.82","5.09, d=0.53","1.57, d=0.16","-1.93, d=-0.19","-3.95, d=-0.41","-7.55, d=-0.76","5.71, d=0.62","3.25, d=0.41","1.41, d=0.19","-0.67, d=-0.11","-2.1, d=-0.42","-2.95, d=-0.72"
"73","8a","PR","7.54, d=0.75","3.98, d=0.4","1.37, d=0.14","-1.52, d=-0.17","-4.54, d=-0.55","-6.23, d=-0.84","7.59, d=0.82","5.08, d=0.53","1.54, d=0.15","-1.95, d=-0.19","-3.97, d=-0.41","-7.55, d=-0.76","5.73, d=0.63","3.26, d=0.41","1.43, d=0.19","-0.66, d=-0.11","-2.1, d=-0.41","-2.95, d=-0.72"
"74","8b","LU","7.67, d=0.77","4.15, d=0.42","1.37, d=0.14","-1.6, d=-0.17","-4.63, d=-0.55","-6.42, d=-0.83","7.59, d=0.82","5.15, d=0.53","1.62, d=0.16","-1.94, d=-0.19","-3.97, d=-0.41","-7.5, d=-0.75","5.96, d=0.64","3.53, d=0.43","1.55, d=0.2","-0.67, d=-0.1","-2.27, d=-0.41","-3.3, d=-0.73"
"75","8b","PR","7.62, d=0.76","4.11, d=0.41","1.37, d=0.14","-1.62, d=-0.18","-4.67, d=-0.55","-6.44, d=-0.84","7.56, d=0.81","5.12, d=0.53","1.58, d=0.16","-1.96, d=-0.2","-4, d=-0.41","-7.52, d=-0.76","5.99, d=0.64","3.53, d=0.43","1.56, d=0.2","-0.64, d=-0.1","-2.27, d=-0.41","-3.28, d=-0.73"
"76","CAT",NA,"7.58, d=0.77","4.21, d=0.43","1.5, d=0.16","-1.37, d=-0.15","-4.67, d=-0.53","-6.78, d=-0.81","7.43, d=0.78","4.87, d=0.51","1.5, d=0.15","-1.95, d=-0.2","-3.92, d=-0.41","-7.34, d=-0.73","6.65, d=0.7","3.8, d=0.44","1.64, d=0.19","-0.86, d=-0.12","-2.86, d=-0.44","-4.34, d=-0.79"
